Timestamp,Location_Lat,Location_Long,Crowd_Density,Movement_Speed,Activity_Type,Weather_Conditions,Temperature,Sound_Level_dB,AR_System_Interaction,Fatigue_Level,Stress_Level,Queue_Time_minutes,Health_Condition,Age_Group,Nationality,Transport_Mode,Waiting_Time_for_Transport,Security_Checkpoint_Wait_Time,Emergency_Event,Incident_Type,Crowd_Morale,Pilgrim_Experience,Interaction_Frequency,Distance_Between_People_m,Event_Type,Time_Spent_at_Location_minutes,AR_Navigation_Success,Satisfaction_Rating,Perceived_Safety_Rating
2024-02-28 05:36:50,21.258846,39.983949,High,0.9,Tawaf,Clear,44,82,Started,Medium,High,16,Fainting,70+,Saudi,Car,78,6,Yes,Theft,Neutral,Experienced,6,0.94,Transport Delay,77,No,2,3
2024-07-15 04:07:23,21.353403,39.850382,Low,0.55,Resting,Clear,39,80,Completed,High,Medium,43,Injured,18-30,Pakistani,Walking,112,23,No,Security Breach,Negative,First-Time,8,2.04,Religious Activity,92,No,2,3
2024-06-06 08:27:11,21.252375,39.937753,Medium,0.94,Prayer,Clear,32,84,Started,High,High,19,Heatstroke,18-30,Saudi,Car,73,23,Yes,Unruly Behavior,Negative,Experienced,2,1.85,Crowd Congestion,16,Yes,5,4
2024-12-23 06:29:22,21.37774,39.813333,Medium,0.55,Prayer,Clear,41,79,Started,Low,Medium,28,Normal,18-30,Saudi,Walking,82,23,No,Unruly Behavior,Negative,Experienced,2,0.96,Transport Delay,74,No,3,3
2024-08-19 18:00:22,21.360457,39.950974,High,0.36,Sa’i,Rainy,44,67,Completed,Low,Low,15,Fainting,51-70,Egyptian,Walking,18,17,Yes,Theft,Negative,First-Time,10,1.05,Transport Delay,20,No,3,1
2024-06-02 01:37:12,21.289728,39.884954,Low,0.86,Walking,Rainy,42,86,Completed,Low,Medium,20,Normal,70+,Indonesian,Walking,73,23,No,Security Breach,Negative,Experienced,2,0.57,Crowd Congestion,107,Yes,5,2
2024-12-01 06:57:22,21.338257,39.902288,Low,0.62,Sa’i,Cloudy,38,62,Completed,Medium,Low,33,Injured,70+,Saudi,Car,81,5,No,Lost Item,Negative,First-Time,7,2.37,Religious Activity,114,No,4,1
2024-12-02 11:02:49,21.336492,39.899267,Low,0.85,Sa’i,Clear,42,69,Completed,Low,High,51,Fainting,31-50,Saudi,Car,51,19,Yes,Medical Emergency,Negative,First-Time,2,2.17,Transport Delay,84,No,4,2
2024-05-24 04:57:13,21.317517,39.950333,Low,0.24,Tawaf,Cloudy,42,83,Completed,Low,Medium,16,Dehydration,51-70,Indian,Train,48,8,No,Medical Emergency,Positive,Experienced,9,0.9,Medical Emergency,30,No,3,4
2024-03-24 01:06:03,21.343645,39.86037,Medium,1.46,Tawaf,Rainy,30,65,In Progress,High,Low,21,Injured,18-30,Other,Walking,102,25,No,Security Breach,Negative,First-Time,10,1.83,Transport Delay,106,Yes,4,5
2024-03-24 15:06:05,21.34816,39.868657,High,0.67,Resting,Rainy,36,79,Completed,High,Medium,60,Dehydration,51-70,Other,Walking,35,6,No,Security Breach,Positive,First-Time,10,2.05,Crowd Congestion,53,Yes,1,3
2024-07-05 15:41:08,21.239506,39.950665,High,0.84,Resting,Cloudy,30,61,Completed,Low,Low,18,Normal,70+,Indonesian,Car,38,21,Yes,Security Breach,Positive,Experienced,0,1.33,Crowd Congestion,10,Yes,2,2
2024-12-10 20:01:03,21.201598,39.98757,Low,0.91,Walking,Clear,33,85,Completed,High,High,10,Injured,70+,Pakistani,Car,39,16,No,Security Breach,Neutral,Experienced,2,0.58,Religious Activity,59,No,5,5
2024-06-19 05:33:03,21.202709,39.984216,Low,1.47,Sa’i,Clear,35,60,Completed,Low,Medium,54,Heatstroke,31-50,Egyptian,Bus,57,12,Yes,Lost Item,Neutral,Experienced,1,1.64,Religious Activity,32,No,1,1
2024-03-28 08:21:34,21.31689,39.924516,Low,0.34,Walking,Rainy,33,87,In Progress,Low,Low,55,Heatstroke,31-50,Saudi,Walking,69,5,No,Unruly Behavior,Neutral,First-Time,2,2.46,Medical Emergency,70,No,5,4
2024-05-15 08:22:43,21.396313,39.947899,Low,0.32,Prayer,Clear,39,64,Completed,Medium,Medium,34,Heatstroke,70+,Pakistani,Bus,19,12,No,Lost Item,Neutral,First-Time,9,0.82,Medical Emergency,44,No,4,4
2024-02-15 02:21:58,21.321061,39.9994,Medium,0.23,Tawaf,Cloudy,40,70,In Progress,Low,Medium,30,Injured,18-30,Other,Bus,105,13,No,Medical Emergency,Positive,First-Time,4,0.85,Medical Emergency,116,No,4,3
2024-06-21 18:49:56,21.289937,39.89006,High,0.78,Sa’i,Rainy,37,60,In Progress,Low,Low,36,Heatstroke,70+,Pakistani,Train,51,8,Yes,Lost Item,Negative,First-Time,10,0.7,Medical Emergency,75,No,5,3
2024-12-14 04:09:18,21.382011,39.85243,Low,1.07,Resting,Rainy,43,71,Started,Medium,Medium,51,Injured,18-30,Indonesian,Car,57,26,No,Theft,Positive,Experienced,1,1.42,Medical Emergency,68,Yes,1,5
2024-08-17 01:30:05,21.337542,39.842341,Medium,0.98,Resting,Clear,37,64,In Progress,High,Low,36,Heatstroke,51-70,Egyptian,Bus,16,13,No,Security Breach,Negative,First-Time,5,1.28,Medical Emergency,29,Yes,5,5
2024-11-16 04:37:57,21.241508,39.818324,Low,0.88,Prayer,Clear,44,72,Started,High,Low,6,Injured,18-30,Other,Bus,61,21,Yes,Security Breach,Positive,First-Time,10,1.85,Medical Emergency,18,Yes,5,1
2024-09-27 19:31:52,21.327941,39.921445,Low,0.49,Tawaf,Rainy,39,83,Started,High,Low,48,Fainting,31-50,Indian,Car,111,11,No,Security Breach,Negative,First-Time,6,1.5,Transport Delay,45,Yes,3,1
2024-09-14 05:58:48,21.295707,39.822924,Medium,1.21,Tawaf,Clear,38,70,Completed,Low,High,3,Dehydration,70+,Pakistani,Car,46,14,No,Medical Emergency,Negative,Experienced,4,0.73,Crowd Congestion,29,No,4,1
2024-06-09 03:04:28,21.216395,39.97316,Low,1.13,Prayer,Rainy,31,81,Started,High,Low,8,Normal,18-30,Indian,Walking,50,24,No,Theft,Neutral,Experienced,0,1.76,Transport Delay,40,No,1,5
2024-07-29 22:21:03,21.239808,39.868528,High,1.34,Walking,Cloudy,36,64,In Progress,Low,Low,48,Fainting,70+,Saudi,Train,52,17,No,Security Breach,Positive,Experienced,8,1.94,Crowd Congestion,27,No,1,3
2024-11-24 01:35:01,21.309971,39.930265,High,1.16,Resting,Cloudy,45,80,Started,Medium,High,39,Dehydration,18-30,Indonesian,Train,33,11,Yes,Medical Emergency,Negative,Experienced,5,1.46,Crowd Congestion,74,No,4,1
2024-10-02 21:48:39,21.205902,39.950025,High,0.21,Tawaf,Clear,41,81,Completed,High,Low,45,Injured,70+,Indonesian,Car,30,10,Yes,Medical Emergency,Positive,First-Time,5,1.69,Religious Activity,83,Yes,3,5
2024-09-28 15:04:32,21.231881,39.940546,High,0.74,Sa’i,Cloudy,30,69,Started,Low,Medium,34,Heatstroke,70+,Saudi,Train,109,28,No,Lost Item,Neutral,First-Time,1,0.54,Transport Delay,87,No,1,2
2024-05-19 13:58:46,21.202289,39.919934,Medium,1.28,Prayer,Cloudy,38,63,In Progress,Low,High,60,Injured,70+,Indian,Bus,93,18,No,Lost Item,Positive,First-Time,10,1.67,Medical Emergency,40,No,2,5
